"","category","format","LL","avgfinalprice"
"1","Bread","supermarket",848,20.8021163799623
"2","Milk","supermarket",61,11.0779754702482
"3","Ready-made meals","supermarket",938,44.4586298837809
"4","Soft drinks","supermarket",287,18.4531923215617
"5","Canned vegetables","supermarket",392,17.5664785046959
"6","LactoseFree","supermarket",345,17.872684417866
"7","Butter","supermarket",97,22.1909957712599
"8","Canned soup","supermarket",139,16.6901325662897
"9","Tea","supermarket",212,24.2771843764478
"10","Yogurt","supermarket",373,18.0917060250295
"11","Cheese","supermarket",901,71.6962089359905
"12","Cookies","supermarket",275,17.8210750703202
"13","Vegetables","supermarket",503,23.9366310777358
"14","Cream","supermarket",278,15.4065643283735
"15","Chocolate","supermarket",427,20.0688112120999
"16","Sweets & Candy","supermarket",540,11.1192995284297
"17","Fruit Juice","supermarket",432,17.7490654806545
"18","Bakery","supermarket",225,42.8410309117113
"19","Oils","supermarket",130,43.810643466531
"20","Cereals","supermarket",261,29.5776881319319
"21","Eggs","supermarket",45,25.9915070041185
"22","Root vegetables","supermarket",149,23.0448530241177
"23","Fruits","supermarket",424,27.188618527271
"24","Household utensils","supermarket",487,58.4096963097021
"25","Fish","supermarket",641,64.7585053865428
"26","Baking ingredients","supermarket",258,21.7756817076426
"27","Seasoning","supermarket",408,17.6371712937008
"28","Frozen Pizza Snacks","supermarket",136,23.7672081563277
"29","Biscuits","supermarket",131,19.0580263029692
"30","Pasta","supermarket",148,15.1595837159743
"31","Coffee","supermarket",307,40.0842309577918
"32","Chips & Salty snacks","supermarket",478,18.4165767579236
"33","Pastry","supermarket",200,23.0399701401083
"34","Laundry","supermarket",209,29.8682509551488
"35","Cleaning products","supermarket",552,24.818349861519
"36","Chicken","supermarket",265,72.4696648943855
"37","Berries","supermarket",161,25.5313653288986
"38","Meat","supermarket",624,103.855110110045
"39","Rice","supermarket",67,29.6536016201476
"40","Bath Products","supermarket",732,28.0750516770162
"41","Ice cream","supermarket",510,28.4812636666675
"42","Bottled water","supermarket",169,15.0849066555334
"43","Toiletries","supermarket",277,23.2247336242009
"44","Raw nuts, dried fruits & granola bars","supermarket",198,25.0984725097929
"45","Vinegar","supermarket",85,25.4044694291492
"46","Toilet tissue","supermarket",355,27.2313999247256
"47","Jam","supermarket",253,22.7268965950253
"48","Pasta Sauce","supermarket",77,21.3237273893022
"49","Dishwasher & washing up","supermarket",114,41.6144131397346
"50","Tobacco","supermarket",449,62.2450545724133
"51","Coffee filters","supermarket",26,17.3299997336748
"52","Diet pills","supermarket",103,37.7625454642558
"53","Dishwasher & washing up","convenience",46,31.9547356544165
"54","Canned vegetables","convenience",166,14.6024697364401
"55","Soft drinks","convenience",164,14.6616146542934
"56","Ready-made meals","convenience",369,26.9422817427397
"57","Cream","convenience",182,15.0966207762818
"58","Butter","convenience",58,20.7717157869516
"59","Root vegetables","convenience",94,20.6329879537517
"60","Sweets & Candy","convenience",239,9.64057109166856
"61","Yogurt","convenience",204,17.6040785202081
"62","Milk","convenience",34,11.0557345653316
"63","Canned soup","convenience",101,16.8761876846171
"64","Berries","convenience",72,25.3258455600301
"65","Coffee filters","convenience",7,14.2131487032313
"66","Tobacco","convenience",586,87.7382017069714
"67","Cleaning products","convenience",176,21.5550295665103
"68","LactoseFree","convenience",114,17.4532191177724
"69","Laundry","convenience",97,26.9483739881864
"70","Fish","convenience",202,30.6812460483675
"71","Fruits","convenience",215,24.6167899106157
"72","Fruit Juice","convenience",215,17.5253687382523
"73","Bread","convenience",453,19.4442833842998
"74","Pastry","convenience",133,21.1658256055512
"75","Chips & Salty snacks","convenience",272,18.0973009082985
"76","Rice","convenience",38,27.3117889827525
"77","Ice cream","convenience",262,25.1040234725124
"78","Vegetables","convenience",332,23.799740097577
"79","Pasta","convenience",83,14.6631347092761
"80","Cheese","convenience",282,48.636714744692
"81","Toilet tissue","convenience",59,27.0178081758896
"82","Baking ingredients","convenience",87,18.9454792814347
"83","Frozen Pizza Snacks","convenience",78,20.2713692096543
"84","Meat","convenience",166,90.5820851403743
"85","Raw nuts, dried fruits & granola bars","convenience",84,24.4351584338281
"86","Cookies","convenience",189,17.0935918126342
"87","Chicken","convenience",93,62.0530629885008
"88","Chocolate","convenience",167,18.6275575078973
"89","Jam","convenience",142,22.9214582729644
"90","Bath Products","convenience",134,22.3336230749856
"91","Seasoning","convenience",263,16.1513000782916
"92","Bottled water","convenience",116,10.3729755297012
"93","Pasta Sauce","convenience",39,22.6450309973046
"94","Vinegar","convenience",22,20.8050255754476
"95","Coffee","convenience",126,37.5106181133486
"96","Eggs","convenience",24,27.1555413397926
"97","Household utensils","convenience",71,32.0716587802313
"98","Cereals","convenience",107,27.2026684772768
"99","Toiletries","convenience",113,21.500967161101
"100","Biscuits","convenience",48,16.7379366078925
"101","Oils","convenience",38,34.3388806401233
"102","Tea","convenience",60,18.7431021341463
"103","Diet pills","convenience",38,26.0980632008155
"104","Bakery","convenience",12,13.1516555977997
"105","Vegetables","hypermarket",530,20.8682285484267
"106","Fruits","hypermarket",455,22.3612937783342
"107","Biscuits","hypermarket",135,17.637893462535
"108","Chips & Salty snacks","hypermarket",527,17.4389845758303
"109","Bread","hypermarket",858,20.2249844762889
"110","Milk","hypermarket",72,11.6520318468493
"111","Sweets & Candy","hypermarket",561,11.098740372202
"112","Butter","hypermarket",105,21.3879115752045
"113","Meat","hypermarket",771,99.5558867240571
"114","Toilet tissue","hypermarket",75,37.5270467318948
"115","Cheese","hypermarket",947,58.7799292763042
"116","Canned vegetables","hypermarket",401,16.7066331377261
"117","Root vegetables","hypermarket",170,21.9907684640911
"118","Ready-made meals","hypermarket",792,28.4344822825517
"119","Chicken","hypermarket",301,67.5748579863355
"120","Eggs","hypermarket",49,28.1960628492473
"121","Yogurt","hypermarket",423,18.0125837842178
"122","Cream","hypermarket",317,15.1682366221905
"123","Berries","hypermarket",154,23.9827140265894
"124","Fruit Juice","hypermarket",475,17.1359533681328
"125","Cookies","hypermarket",375,16.8481086978661
"126","Rice","hypermarket",85,28.7498807914231
"127","Seasoning","hypermarket",462,18.8250935405729
"128","LactoseFree","hypermarket",368,18.1022143519095
"129","Soft drinks","hypermarket",394,19.7704959581892
"130","Cleaning products","hypermarket",289,24.5093663307904
"131","Pastry","hypermarket",234,18.8728131834146
"132","Fish","hypermarket",586,42.3181668924139
"133","Coffee","hypermarket",373,39.8393771684508
"134","Baking ingredients","hypermarket",279,20.758515181944
"135","Bottled water","hypermarket",196,14.7805165796312
"136","Cereals","hypermarket",283,28.0393705104853
"137","Frozen Pizza Snacks","hypermarket",126,24.9412877679268
"138","Jam","hypermarket",272,22.0040527552531
"139","Raw nuts, dried fruits & granola bars","hypermarket",239,23.1211826240256
"140","Coffee filters","hypermarket",26,16.4495609940216
"141","Toiletries","hypermarket",313,22.7998698477884
"142","Tea","hypermarket",242,23.3402547372258
"143","Pasta Sauce","hypermarket",89,20.2635473690624
"144","Ice cream","hypermarket",529,27.7036835515784
"145","Canned soup","hypermarket",143,15.2768839690107
"146","Chocolate","hypermarket",361,18.7777568468668
"147","Bakery","hypermarket",351,50.2960954116556
"148","Vinegar","hypermarket",76,24.8116363300149
"149","Pasta","hypermarket",184,15.5353311562337
"150","Laundry","hypermarket",231,31.307207785006
"151","Dishwasher & washing up","hypermarket",122,40.2482597573387
"152","Bath Products","hypermarket",1532,Inf
"153","Diet pills","hypermarket",106,44.5149800861757
"154","Tobacco","hypermarket",710,119.451018940984
"155","Oils","hypermarket",153,44.5697033152823
